Order_ID,Order_Date,Region,City,Category,Product,Sales_Channel,Units,Unit_Price,Discount_Pct,Unit_Cost,Customer_Rating
ORD-0001,2025-02-10,South,Bengaluru,Office Supplies,Notebook Pack,Corporate,6,427.50,0.05,213.40,4.0
ORD-0002,2025-02-27,North,Chandigarh,Electronics,Wireless Mouse,Retail,11,882.00,0.00,470.40,4.0
ORD-0003,2025-03-16,West,Ahmedabad,Home Office,Foot Rest,Online,4,1414.00,0.05,693.00,4.5
ORD-0004,2025-04-02,East,Bhubaneswar,Home Office,Desk Lamp,Corporate,9,1664.00,0.00,900.00,4.5
ORD-0005,2025-04-19,South,Bengaluru,Accessories,Laptop Sleeve,Retail,2,1070.00,0.05,525.20,5.0
ORD-0006,2025-05-06,North,Chandigarh,Furniture,Storage Cabinet,Online,7,10230.00,0.00,7752.00,3.5
ORD-0007,2025-05-23,West,Ahmedabad,Furniture,Office Chair,Corporate,12,6240.00,0.05,4429.00,4.0
ORD-0008,2025-06-09,East,Bhubaneswar,Office Supplies,Desk Organizer,Retail,5,693.00,0.00,364.00,4.0
ORD-0009,2025-06-26,South,Bengaluru,Electronics,Keyboard,Online,10,1530.00,0.05,816.00,4.5
ORD-0010,2025-07-13,North,Chandigarh,Electronics,Laptop Stand,Corporate,3,1890.00,0.00,1067.00,4.5
ORD-0011,2025-07-30,West,Ahmedabad,Home Office,Monitor Arm,Retail,8,3456.00,0.05,1862.00,5.0
ORD-0012,2025-08-16,East,Bhubaneswar,Accessories,Webcam,Online,1,2632.00,0.00,1683.00,3.5
ORD-0013,2025-09-02,South,Bengaluru,Accessories,USB Hub,Corporate,6,1164.00,0.05,600.00,4.0
ORD-0014,2025-09-19,North,Chandigarh,Furniture,Study Desk,Retail,11,8500.00,0.00,5959.00,4.0
ORD-0015,2025-10-06,West,Ahmedabad,Office Supplies,Printer Paper,Online,4,566.50,0.05,306.00,4.5
ORD-0016,2025-10-23,East,Bhubaneswar,Office Supplies,Notebook Pack,Corporate,9,477.00,0.00,226.60,4.5
ORD-0017,2025-11-09,South,Bengaluru,Electronics,Wireless Mouse,Retail,2,828.00,0.05,499.20,5.0
ORD-0018,2025-11-26,North,Chandigarh,Home Office,Foot Rest,Online,7,1330.00,0.00,672.00,3.5
ORD-0019,2025-12-13,West,Ahmedabad,Home Office,Desk Lamp,Corporate,12,1568.00,0.05,873.00,4.0
ORD-0020,2025-12-30,East,Bhubaneswar,Accessories,Laptop Sleeve,Retail,5,1010.00,0.00,509.60,4.0
ORD-0021,2025-01-16,South,Bengaluru,Furniture,Storage Cabinet,Online,10,11440.00,0.05,7524.00,4.5
ORD-0022,2025-02-02,North,Chandigarh,Furniture,Office Chair,Corporate,3,6955.00,0.00,4300.00,4.5
ORD-0023,2025-02-19,West,Ahmedabad,Office Supplies,Desk Organizer,Retail,8,651.00,0.05,353.50,5.0
ORD-0024,2025-03-08,East,Bhubaneswar,Electronics,Keyboard,Online,1,1440.00,0.00,867.00,3.5
ORD-0025,2025-03-25,South,Bengaluru,Electronics,Laptop Stand,Corporate,6,1782.00,0.05,1133.00,4.0
ORD-0026,2025-04-11,North,Chandigarh,Home Office,Monitor Arm,Retail,11,3264.00,0.00,1976.00,4.0
ORD-0027,2025-04-28,West,Ahmedabad,Accessories,Webcam,Online,4,2940.00,0.05,1632.00,4.5
ORD-0028,2025-05-15,East,Bhubaneswar,Accessories,USB Hub,Corporate,9,1296.00,0.00,582.00,4.5
ORD-0029,2025-06-01,South,Bengaluru,Furniture,Study Desk,Retail,2,7990.00,0.05,5782.00,5.0
ORD-0030,2025-06-18,North,Chandigarh,Office Supplies,Printer Paper,Online,7,533.50,0.00,297.00,3.5
ORD-0031,2025-07-05,West,Ahmedabad,Office Supplies,Notebook Pack,Corporate,12,450.00,0.05,220.00,4.0
